Date,Open,High,Low,xparallel
2021-01-01,382.76,387.14,378.38,381
2021-02-01,381.34,385.51,377.18,381
2021-03-01,384.1,388.05,380.16,381
2021-04-01,381.01,384.78,377.23,381
2021-05-01,384.19,410,380.6,410
2021-06-01,419.75,425.82,410.15,410.15
2021-07-01,410.12,416.06,404.18,410.1
2021-08-01,411.6,417.16,406.04,411
2021-09-01,413.73,418.97,408.5,411
2021-10-01,411.69,416.63,406.74,411.5
2021-11-01,414.37,419.03,409.7,411.74
2021-12-01,412.44,416.87,408,414.34
2022-01-01,417.9,422.14,413.66,415.96
2022-02-01,416.87,420.93,412.81,416.95
2022-03-01,419.96,423.83,415.72,415.72
2022-04-01,415.9,419.67,412.14,415.53
2022-05-01,418.4,422,414.8,415.95
2022-06-01,416.69,420.18,413.2,415.61
2022-07-01,418.26,421.62,414.9,417.26
2022-08-01,418.48,426.06,415.22,426.06
2022-09-01,431.58,435.57,428.08,435.57
2022-10-01,438.42,441.95,434.89,440.85
2022-11-01,444.79,448.26,441.31,445.58
2022-12-01,447.47,450.87,444.06,450.71
2023-01-01,454.97,458.36,451.58,455.27
2023-02-01,457.03,460.43,453.7,460.43
2023-03-01,464.81,468.15,460.43,460.43
2023-04-01,460.7,464.05,457.36,460.43
2023-05-01,463.68,466.94,460.41,460.71
2023-06-01,461.42,615.78,458.18,615.78
2023-07-01,634.23,770.29,625.41,770.29
2023-08-01,782.94,794.81,761.62,761.62
2023-09-01,760.54,772.13,748.94,761.33
2023-10-01,764.41,795.04,753.56,795.04
2023-11-01,810.96,832.68,798.92,832.68
2023-12-01,842.76,876.4,830.29,876.4
2024-01-01,894.06,941.26,880.25,941.26
2024-02-01,960.63,1510.33,944.08,1510.33
2024-03-01,1545.83,1574.2,1506.56,1506.56
2024-04-01,1498.98,1526.25,1231.05,1231.05
2024-05-01,1215.84,1433.31,1190.97,1433.31
2024-06-01,1478.16,1512.78,1443.54,1481.83
2024-07-01,1491.83,1557.57,1458.61,1557.57
2024-08-01,1587.43,1622.13,1552.74,1587.57
2024-09-01,1596.2,1629.05,1563.35,1619.31
2024-10-01,1635.68,1667.12,1604.24,1640.66
2024-11-01,1650.88,1680.53,1621.22,1670.28
2024-12-01,1685.91,1714.27,1553.25,1553.25
2025-01-01,1523.15,1555.54,1490.76,1535.44
2025-02-01,1549.48,1579.32,1500.47,1500.47
2025-03-01,1491.31,1525.87,1462.85,1525.87
2025-04-01,1547.89,1594.55,1520.22,1594.55
2025-05-01,1615.96,1644.26,1587.66,1594.7
2025-06-01,1598.78,1625.44,1549.29,1549.29
2025-07-01,1540.26,1565.91,1514.62,1529.85
2025-08-01,1537.25,1560.96,1513.55,1534.25
2025-09-01,1539.32,1561.55,1497.29,1497.29
2025-10-01,1494.39,1515.98,1459.04,1459.04
2025-11-01,1454.22,1474.86,1433.58,1443.35
2025-12-01,1449.68,1468.92,1430.45,1450.35
2026-01-01,1456.6,1474.75,1416.02,1416.02
2026-02-01,1412.66,1430.77,1355.03,1355.03
2026-03-01,1343.43,1378.82,1324.4,1378.82
2026-04-01,1399.72,1418.97,1363.98,1386.66
